Perbaikan kualitas jerami padi sebagi pakan sapi;perbaikan-kualitas-jerami-padi-sebagi-pakan-sapi;Wiendarti Indri Werdhany;NULL;NULL;NULL;application/pdf;NULL;Agdex: 61;1155.14;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Perbaikan_Kualitas_Jerami_Padi_Sebagai_Pakan_Sapi.pdf
Teknologi budidaya kacang hijau di lahan kering;teknologi-budidaya-kacang-hijau-di-lahan-kering;;NULL;NULL;NULL;application/pdf;NULL;Agdex:110/20;39.01;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/I-28.pdf
Teknologi budidaya kacang hijau di lahan kering;teknologi-budidaya-kacang-hijau-di-lahan-kering;;NULL;NULL;NULL;application/pdf;NULL;Agdex:110/20;1008.51;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Teknologi_Budidaya_Kacang_Hijau_di_Lahan_Kering.pdf
Teknologi pengolahan getuk pisang;teknologi-pengolahan-getuk-pisang;Retno Utami Hatmi;NULL;NULL;NULL;application/pdf;NULL;Agdex:112/11;71.14;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/I-29.pdf
Teknologi pengolahan getuk pisang;teknologi-pengolahan-getuk-pisang;Retno Utami Hatmi;NULL;NULL;NULL;application/pdf;NULL;Agdex:112/11;862.67;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Teknologi_Pengolahan_Getuk_Pisang2.pdf
Dendeng Sayat Daging Sayat;dendeng-sayat-daging-sayat;Wiendarti Indri Werdhany;NULL;NULL;NULL;application/for;NULL;Agdex: 410/80;31819;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/4.agusipvol5-1_.pdf
Dendeng Sayat Daging Sayat;dendeng-sayat-daging-sayat;Wiendarti Indri Werdhany;NULL;NULL;NULL;application/pdf;NULL;Agdex: 410/80;423.72;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/1101daging_sayat.pdf
Teknologi  pasca panen dan pengolahan cabai;teknologi-pasca-panen-dan-pengolahan-cabai;Endang Wisnu Wiranti;NULL;NULL;NULL;application/pdf;NULL;ISBN : 978-979-98579-3-4;249.32;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/warta_biogen_3_1_2007-7.pdf
Teknologi  pasca panen dan pengolahan cabai;teknologi-pasca-panen-dan-pengolahan-cabai;;NULL;NULL;NULL;application/pdf;NULL;ISBN : 978-979-98579-3-4;249.32;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/warta_biogen_3_1_2007-7.pdf
Sistem perangkap bubu tikus;sistem-perangkap-bubu-tikus;Sukar;NULL;NULL;NULL;application/pdf;NULL;;79.01;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/jlp312121.pdf
Sistem perangkap bubu tikus;sistem-perangkap-bubu-tikus;Sukar;NULL;NULL;NULL;application/pdf;NULL;;1749.86;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/98_yogya_tikus.PDF
Sistem perangkap bubu tikus;sistem-perangkap-bubu-tikus;Suharno;NULL;NULL;NULL;application/pdf;NULL;;79.01;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/jlp312121.pdf
Sistem perangkap bubu tikus;sistem-perangkap-bubu-tikus;Suharno;NULL;NULL;NULL;application/pdf;NULL;;1749.86;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/98_yogya_tikus.PDF
Sistem perangkap bubu tikus;sistem-perangkap-bubu-tikus;;NULL;NULL;NULL;application/pdf;NULL;;79.01;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/jlp312121.pdf
Sistem perangkap bubu tikus;sistem-perangkap-bubu-tikus;;NULL;NULL;NULL;application/pdf;NULL;;1749.86;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/98_yogya_tikus.PDF
Way apo buru varietas padi baru harapan alternatif IR 64;way-apo-buru-varietas-padi-baru-harapan-alternatif-ir-64;Murwati;NULL;NULL;NULL;application/pdf;NULL;;506.93;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/rejuvenasi1.pdf
Way apo buru varietas padi baru harapan alternatif IR 64;way-apo-buru-varietas-padi-baru-harapan-alternatif-ir-64;Murwati;NULL;NULL;NULL;application/pdf;NULL;;128.97;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/98_yogya_varietas_padi11.pdf
Way apo buru varietas padi baru harapan alternatif IR 64;way-apo-buru-varietas-padi-baru-harapan-alternatif-ir-64;;NULL;NULL;NULL;application/pdf;NULL;;506.93;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/rejuvenasi1.pdf
Way apo buru varietas padi baru harapan alternatif IR 64;way-apo-buru-varietas-padi-baru-harapan-alternatif-ir-64;;NULL;NULL;NULL;application/pdf;NULL;;128.97;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/98_yogya_varietas_padi11.pdf
Penyediaan bibit unggul dengan cangkok mini dan sambungan pada kelengkeng dataran rendah;penyediaan-bibit-unggul-dengan-cangkok-mini-dan-sambungan-pada-kelengkeng-dataran-rendah;Sukar;NULL;NULL;NULL;application/pdf;NULL;;150.27;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/jagung4.pdf
Penyediaan bibit unggul dengan cangkok mini dan sambungan pada kelengkeng dataran rendah;penyediaan-bibit-unggul-dengan-cangkok-mini-dan-sambungan-pada-kelengkeng-dataran-rendah;Sukar;NULL;NULL;NULL;application/pdf;NULL;;1744.53;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/99_yogya_kelengkeng.PDF
Membuat pathila;membuat-pathila;Murwati;NULL;NULL;NULL;application/pdf;NULL;;167.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/database3.pdf
Membuat pathila;membuat-pathila;Murwati;NULL;NULL;NULL;application/pdf;NULL;;1724.07;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/99_yogya_pathila.PDF
Membuat pathila;membuat-pathila;;NULL;NULL;NULL;application/pdf;NULL;;167.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/database3.pdf
Membuat pathila;membuat-pathila;;NULL;NULL;NULL;application/pdf;NULL;;1724.07;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/99_yogya_pathila.PDF
Berbagai pestisida nabati;berbagai-pestisida-nabati;Suharno;NULL;NULL;NULL;application/pdf;NULL;;472.09;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-4.pdf
Berbagai pestisida nabati;berbagai-pestisida-nabati;Suharno;NULL;NULL;NULL;application/pdf;NULL;;1593.13;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/99_yogya_pestisida_nabati.PDF
Berbagai pestisida nabati;berbagai-pestisida-nabati;;NULL;NULL;NULL;application/pdf;NULL;;472.09;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-4.pdf
Berbagai pestisida nabati;berbagai-pestisida-nabati;;NULL;NULL;NULL;application/pdf;NULL;;1593.13;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/99_yogya_pestisida_nabati.PDF
Ceriping pohong (ubi kayu) rasa gadung;ceriping-pohong-ubi-kayu-rasa-gadung;Murwati;NULL;NULL;NULL;application/pdf;NULL;;88.69;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-9.pdf
Ceriping pohong (ubi kayu) rasa gadung;ceriping-pohong-ubi-kayu-rasa-gadung;;NULL;NULL;NULL;application/pdf;NULL;;88.69;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-9.pdf
Penyakit utama pada kacang tanah dan gara pengendaliannya;penyakit-utama-pada-kacang-tanah-dan-gara-pengendaliannya;Sukar;NULL;NULL;NULL;application/pdf;NULL;;45.21;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-10.pdf
Penyakit utama pada kacang tanah dan gara pengendaliannya;penyakit-utama-pada-kacang-tanah-dan-gara-pengendaliannya;Sukar;NULL;NULL;NULL;application/pdf;NULL;;1565.27;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2000_yogya_kacangtanah.PDF
Penyakit utama pada kacang tanah dan gara pengendaliannya;penyakit-utama-pada-kacang-tanah-dan-gara-pengendaliannya;;NULL;NULL;NULL;application/pdf;NULL;;45.21;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-10.pdf
Penyakit utama pada kacang tanah dan gara pengendaliannya;penyakit-utama-pada-kacang-tanah-dan-gara-pengendaliannya;;NULL;NULL;NULL;application/pdf;NULL;;1565.27;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2000_yogya_kacangtanah.PDF
Teknologi pengolahan bubuk kedelai sebagai minuman;teknologi-pengolahan-bubuk-kedelai-sebagai-minuman;Ahmad Musofie A.M.;NULL;NULL;NULL;application/pdf;NULL;;51.11;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-111.pdf
Teknologi pengolahan bubuk kedelai sebagai minuman;teknologi-pengolahan-bubuk-kedelai-sebagai-minuman;Ahmad Musofie A.M.;NULL;NULL;NULL;application/pdf;NULL;;1683.46;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2000_yogya_kedelai.PDF
Teknologi pengolahan bubuk kedelai sebagai minuman;teknologi-pengolahan-bubuk-kedelai-sebagai-minuman;Robertus Mudjisihono;NULL;NULL;NULL;application/pdf;NULL;;51.11;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-111.pdf
Teknologi pengolahan bubuk kedelai sebagai minuman;teknologi-pengolahan-bubuk-kedelai-sebagai-minuman;Robertus Mudjisihono;NULL;NULL;NULL;application/pdf;NULL;;1683.46;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2000_yogya_kedelai.PDF
Teknologi pengolahan bubuk kedelai sebagai minuman;teknologi-pengolahan-bubuk-kedelai-sebagai-minuman;;NULL;NULL;NULL;application/pdf;NULL;;51.11;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prork11-111.pdf
Teknologi pengolahan bubuk kedelai sebagai minuman;teknologi-pengolahan-bubuk-kedelai-sebagai-minuman;;NULL;NULL;NULL;application/pdf;NULL;;1683.46;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2000_yogya_kedelai.PDF
Berbagai bentuk olahan susu;berbagai-bentuk-olahan-susu;Suharno;NULL;NULL;NULL;application/pdf;NULL;;285.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/jlp312125.pdf
Berbagai bentuk olahan susu;berbagai-bentuk-olahan-susu;Suharno;NULL;NULL;NULL;application/pdf;NULL;;2013.98;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2000_yogya_susu.PDF
Berbagai bentuk olahan susu;berbagai-bentuk-olahan-susu;;NULL;NULL;NULL;application/pdf;NULL;;285.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/jlp312125.pdf
Berbagai bentuk olahan susu;berbagai-bentuk-olahan-susu;;NULL;NULL;NULL;application/pdf;NULL;;2013.98;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2000_yogya_susu.PDF
Pengenalan varietas padi unggul baru aromatik (millenium) dengan sistem budidaya tanah benih langsung (tabela);pengenalan-varietas-padi-unggul-baru-aromatik-millenium-dengan-sistem-budidaya-tanah-benih-langsung-tabela;Robertus Mudjisihono;NULL;NULL;NULL;application/pdf;NULL;;539.32;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Pengenalan_varietas.PDF
Pengenalan varietas padi unggul baru aromatik (millenium) dengan sistem budidaya tanah benih langsung (tabela);pengenalan-varietas-padi-unggul-baru-aromatik-millenium-dengan-sistem-budidaya-tanah-benih-langsung-tabela;;NULL;NULL;NULL;application/pdf;NULL;;539.32;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Pengenalan_varietas.PDF
Pengendalian penyakit layu (bayong) pada kaxcang tanah;pengendalian-penyakit-layu-bayong-pada-kaxcang-tanah;Sukar;NULL;NULL;NULL;application/pdf;NULL;;235.35;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/soybean3.pdf
Pengendalian penyakit layu (bayong) pada kaxcang tanah;pengendalian-penyakit-layu-bayong-pada-kaxcang-tanah;Sukar;NULL;NULL;NULL;application/pdf;NULL;;498.57;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Pengendalian_penyakit_Layu.PDF
Pengendalian penyakit layu (bayong) pada kaxcang tanah;pengendalian-penyakit-layu-bayong-pada-kaxcang-tanah;;NULL;NULL;NULL;application/pdf;NULL;;235.35;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/soybean3.pdf
Pengendalian penyakit layu (bayong) pada kaxcang tanah;pengendalian-penyakit-layu-bayong-pada-kaxcang-tanah;;NULL;NULL;NULL;application/pdf;NULL;;498.57;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Pengendalian_penyakit_Layu.PDF
Penyakit utama pada tanaman lada;penyakit-utama-pada-tanaman-lada;Suharno;NULL;NULL;NULL;application/pdf;NULL;;160.96;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/in_vitro1.pdf
Penyakit utama pada tanaman lada;penyakit-utama-pada-tanaman-lada;Suharno;NULL;NULL;NULL;application/pdf;NULL;;609.38;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Penyakit_utama.PDF
Penyakit utama pada tanaman lada;penyakit-utama-pada-tanaman-lada;;NULL;NULL;NULL;application/pdf;NULL;;160.96;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/in_vitro1.pdf
Penyakit utama pada tanaman lada;penyakit-utama-pada-tanaman-lada;;NULL;NULL;NULL;application/pdf;NULL;;609.38;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Penyakit_utama.PDF
Perbaikan pakan itik turi di wilayah Bantul Selatan;perbaikan-pakan-itik-turi-di-wilayah-bantul-selatan;Murwati;NULL;NULL;NULL;application/pdf;NULL;;627.31;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Perbaikan_pakan0001.PDF
Perbaikan pakan itik turi di wilayah Bantul Selatan;perbaikan-pakan-itik-turi-di-wilayah-bantul-selatan;;NULL;NULL;NULL;application/pdf;NULL;;627.31;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2001_yogya_Perbaikan_pakan0001.PDF
Cara pengambilan contoh pupuk organik;cara-pengambilan-contoh-pupuk-organik;Supriadi;NULL;NULL;NULL;application/pdf;NULL;;2105.73;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-1-infolitbangtan-04-04.pdf
Cara pengambilan contoh pupuk organik;cara-pengambilan-contoh-pupuk-organik;Supriadi;NULL;NULL;NULL;application/pdf;NULL;;94.56;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_cara_ambil_pupuk_bu_Fi._._.pdf
Cara pengambilan contoh pupuk organik;cara-pengambilan-contoh-pupuk-organik;;NULL;NULL;NULL;application/pdf;NULL;;2105.73;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-1-infolitbangtan-04-04.pdf
Cara pengambilan contoh pupuk organik;cara-pengambilan-contoh-pupuk-organik;;NULL;NULL;NULL;application/pdf;NULL;;94.56;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_cara_ambil_pupuk_bu_Fi._._.pdf
Tepung kassava fermentasi;tepung-kassava-fermentasi;Titiek Farianti Djaafar;NULL;NULL;NULL;application/pdf;NULL;;2105.73;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-1-infolitbangtan-04-05.pdf
Tepung kassava fermentasi;tepung-kassava-fermentasi;Titiek Farianti Djaafar;NULL;NULL;NULL;application/pdf;NULL;;157.05;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_casava_bu_titiek.pdf
Tepung kassava fermentasi;tepung-kassava-fermentasi;Retno Utami Hatmi;NULL;NULL;NULL;application/pdf;NULL;;2105.73;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-1-infolitbangtan-04-05.pdf
Tepung kassava fermentasi;tepung-kassava-fermentasi;Retno Utami Hatmi;NULL;NULL;NULL;application/pdf;NULL;;157.05;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_casava_bu_titiek.pdf
Pembuatan pupuk organik limbah kandang hemat tenaga;pembuatan-pupuk-organik-limbah-kandang-hemat-tenaga;Murwati;NULL;NULL;NULL;application/pdf;NULL;;2295.7;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-2-infolitbangtan-04-04.pdf
Pembuatan pupuk organik limbah kandang hemat tenaga;pembuatan-pupuk-organik-limbah-kandang-hemat-tenaga;Murwati;NULL;NULL;NULL;application/pdf;NULL;;189.05;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_pupuk_org_bu_murwati.pdf
Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta;percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta-percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta;Sri Wahyuni Budiarti;NULL;NULL;NULL;application/pdf;NULL;;2295.7;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-2-infolitbangtan-04-05.pdf
Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta;percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta-percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta;Sri Wahyuni Budiarti;NULL;NULL;NULL;application/pdf;NULL;;244.02;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_VUB_Padi.pdf
Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta;percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta-percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta;Sutardi;NULL;NULL;NULL;application/pdf;NULL;;2295.7;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-2-infolitbangtan-04-05.pdf
Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta;percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta-percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta;Sutardi;NULL;NULL;NULL;application/pdf;NULL;;244.02;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_VUB_Padi.pdf
Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta;percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta-percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta;Heri Basuki Raharjo;NULL;NULL;NULL;application/pdf;NULL;;2295.7;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/file-2-infolitbangtan-04-05.pdf
Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta;percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta-percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta;Heri Basuki Raharjo;NULL;NULL;NULL;application/pdf;NULL;;244.02;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Liptan_VUB_Padi.pdf
Teknologi Pengolahan umbi-umbian mendukung diverifikasi pangan;teknologi-pengolahan-umbi-umbian-mendukung-diverifikasi-pangan;Suhardi;NULL;NULL;NULL;application/pdf;NULL;978-979-3450-39-1;1271.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/BP-36-2006a-5.pdf
Teknologi Pengolahan umbi-umbian mendukung diverifikasi pangan;teknologi-pengolahan-umbi-umbian-mendukung-diverifikasi-pangan; Ita Yustina) dan 0000;NULL;NULL;NULL;application/pdf;NULL;978-979-3450-39-1;1271.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/BP-36-2006a-5.pdf
Teknologi Pengolahan umbi-umbian mendukung diverifikasi pangan;teknologi-pengolahan-umbi-umbian-mendukung-diverifikasi-pangan;Yuniarti;NULL;NULL;NULL;application/pdf;NULL;978-979-3450-39-1;1271.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/BP-36-2006a-5.pdf
Teknologi Pengolahan umbi-umbian mendukung diverifikasi pangan;teknologi-pengolahan-umbi-umbian-mendukung-diverifikasi-pangan;Suyamto;NULL;NULL;NULL;application/pdf;NULL;978-979-3450-39-1;1271.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/BP-36-2006a-5.pdf
Teknologi Pengolahan umbi-umbian mendukung diverifikasi pangan;teknologi-pengolahan-umbi-umbian-mendukung-diverifikasi-pangan;S.S. Antarlina;NULL;NULL;NULL;application/pdf;NULL;978-979-3450-39-1;1271.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/BP-36-2006a-5.pdf
Infotek Pertanian, Inovasi Teknologi Pertanian untuk penyuluh, Petani, dan Pengguna lain/FEATI;infotek-pertanian-inovasi-teknologi-pertanian-untuk-penyuluh-petani-dan-pengguna-lainfeati;;NULL;NULL;NULL;application/pdf;NULL;;215.35;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/03-Buang_Abdullah.pdf
